loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2020-08-23 21:36:04.571 +0200,1,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211363.987758,50.57800417770685,8.663014601924143,186.8871,0.17,338.203125,3,5,-9999
2020-08-23 21:36:05.075 +0200,2,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211363.987758,50.57800417770685,8.663014601924143,186.8871,0.17,338.203125,3,5,-9999
2020-08-23 21:36:05.586 +0200,3,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211364.988639,50.57800417770685,8.663014601924143,185.6174,0,337.5,3,5,-9999
2020-08-23 21:36:06.133 +0200,4,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211365.989466,50.57799826846512,8.66301837378057,186.221,0.53,168.3984375,3,5,-9999
2020-08-23 21:36:06.590 +0200,5,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211365.989466,50.57799826846512,8.66301837378057,186.221,0.53,168.3984375,3,5,-9999
2020-08-23 21:36:07.093 +0200,6,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211365.989466,50.57799826846512,8.66301837378057,186.221,0.53,168.3984375,3,5,-9999
2020-08-23 21:36:07.597 +0200,7,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211366.990246,50.57799185630919,8.663018709056697,185.602,0.53,182.109375,3,5,-9999
2020-08-23 21:36:08.101 +0200,8,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211366.990246,50.57799185630919,8.663018709056697,185.602,0.53,182.109375,3,5,-9999
2020-08-23 21:36:08.604 +0200,9,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211367.990974,50.57798917410017,8.663012674086414,185.6427,0.75,219.375,3,5,-9999
2020-08-23 21:36:09.107 +0200,10,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211368.991655,50.57798841972889,8.66301007569643,185.6234,0.35,223.2421875,3,5,-9999
2020-08-23 21:36:09.611 +0200,11,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211368.991655,50.57798841972889,8.66301007569643,185.6234,0.35,223.2421875,3,5,-9999
2020-08-23 21:36:10.114 +0200,12,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211369.992292,50.5779945385182,8.663013177000604,185.642,0.35,223.2421875,4,5,-9999
2020-08-23 21:36:10.618 +0200,13,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211369.992292,50.5779945385182,8.663013177000604,185.642,0.35,223.2421875,4,5,-9999
2020-08-23 21:36:11.121 +0200,14,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211370.992892,50.57799818464608,8.663015607752524,185.6184,0.17,223.2421875,4,5,-9999
2020-08-23 21:36:11.624 +0200,15,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211370.992892,50.57799818464608,8.663015607752524,185.6184,0.17,223.2421875,4,5,-9999
2020-08-23 21:36:12.128 +0200,16,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1598211371.993451,50.57799818464608,8.663015607752524,185.5682,0,223.2421875,3,5,-9999
