loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2020-07-29 12:11:49.219 +0200,1,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017508.999813,50.10943860751587,8.694250769921293,106.4968,0,149.765625,4,10,-9999
2020-07-29 12:11:51.228 +0200,2,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017508.999813,50.10943860751587,8.694250769921293,106.4968,0,149.765625,4,10,-9999
2020-07-29 12:11:53.231 +0200,3,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017511.999806,50.10943860751587,8.694250769921293,103.1047,0,120.9375,3,10,-9999
2020-07-29 12:11:55.234 +0200,4,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017514.999799,50.10943387174058,8.694260912024131,106.1083,0.24,179.296875,3,10,-9999
2020-07-29 12:11:57.237 +0200,5,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017514.999799,50.10943387174058,8.694260912024131,106.1083,0.24,179.296875,3,10,-9999
2020-07-29 12:11:59.240 +0200,6,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017517.999791,50.10943357837397,8.694271724679222,106.3242,0.26,262.265625,4,10,-9999
2020-07-29 12:12:01.243 +0200,7,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017520.999784,50.10944585786211,8.694245489322295,106.4626,0.21,301.640625,4,10,-9999
2020-07-29 12:12:03.234 +0200,8,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017520.999784,50.10944585786211,8.694245489322295,106.4626,0.21,301.640625,4,10,-9999
2020-07-29 12:12:05.238 +0200,9,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017523.999777,50.10944732469517,8.694269042470207,106.0425,0.2,105.46875,4,10,-9999
2020-07-29 12:12:07.241 +0200,10,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017526.999769,50.109448204795,8.694302234806766,106.3001,0.15,53.7890625,4,10,-9999
2020-07-29 12:12:09.244 +0200,11,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017526.999769,50.109448204795,8.694302234806766,106.3001,0.15,53.7890625,4,10,-9999
2020-07-29 12:12:11.246 +0200,12,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017529.999761,50.109448204795,8.694302234806766,106.3063,0,144.140625,3,10,-9999
2020-07-29 12:12:13.250 +0200,13,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017532.999754,50.109448204795,8.694302234806766,106.1344,0,65.0390625,3,10,-9999
2020-07-29 12:12:15.263 +0200,14,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017532.999754,50.109448204795,8.694302234806766,106.1344,0,65.0390625,3,10,-9999
2020-07-29 12:12:17.256 +0200,15,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017535.999747,50.109448204795,8.694302234806766,104.7697,0,5.625,3,10,-9999
2020-07-29 12:12:19.259 +0200,16,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596017538.99974,50.10948307351219,8.694346910350671,106.3538,0,91.7578125,3,10,-9999
