loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z)
2020-07-29 10:40:03.441 +0200,1,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012000.999741,49.91990391169667,8.646470485263174,130.5316,29.06,4.5703125,6,5,-9999
2020-07-29 10:40:05.441 +0200,2,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012003.999737,49.92070031822652,8.646562686198061,131.8813,29.06,4.921875,8,10,-9999
2020-07-29 10:40:07.444 +0200,3,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012006.999734,49.92150196344584,8.646649438895887,131.785,28.88,4.5703125,8,5,-9999
2020-07-29 10:40:09.459 +0200,4,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012006.999734,49.92150196344584,8.646649438895887,131.785,28.88,4.5703125,8,5,-9999
2020-07-29 10:40:11.449 +0200,5,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012009.999731,49.92227615793228,8.646752620123928,131.1417,28.91,5.625,6,5,-9999
2020-07-29 10:40:13.452 +0200,6,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012012.999728,49.9230487179476,8.646863847979015,128.0181,28.43,5.2734375,6,5,-9999
2020-07-29 10:40:15.455 +0200,7,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012012.999728,49.9230487179476,8.646863847979015,128.0181,28.43,5.2734375,6,5,-9999
2020-07-29 10:40:17.465 +0200,8,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012015.999725,49.92383359936058,8.646948589020079,126.3099,28.65,5.2734375,6,5,-9999
2020-07-29 10:40:19.468 +0200,9,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012018.999721,49.92459781938225,8.647067612045115,126.6258,28.95,4.921875,6,5,-9999
2020-07-29 10:40:21.471 +0200,10,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012018.999721,49.92459781938225,8.647067612045115,126.6258,28.95,4.921875,6,5,-9999
2020-07-29 10:40:23.474 +0200,11,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012021.999719,49.92535076574416,8.647165931769317,127.1167,28.22,5.2734375,8,5,-9999
2020-07-29 10:40:25.476 +0200,12,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012024.999716,49.92611092054278,8.647282943137592,125.9596,27.39,5.625,12,5,-9999
2020-07-29 10:40:27.481 +0200,13,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012024.999716,49.92611092054278,8.647282943137592,125.9596,27.39,5.625,12,5,-9999
2020-07-29 10:40:29.482 +0200,14,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012027.999713,49.92678021551103,8.647397188477822,126.8252,24.93,4.921875,12,10,-9999
2020-07-29 10:40:31.485 +0200,15,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012030.999709,49.9273922201711,8.647493999459453,123.4844,22.51,5.625,8,10,-9999
2020-07-29 10:40:33.487 +0200,16,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012030.999709,49.9273922201711,8.647493999459453,123.4844,22.51,5.625,8,10,-9999
2020-07-29 10:40:35.490 +0200,17,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012033.999706,49.92792983544052,8.647568766035743,123.5985,19.75,358.9453125,6,10,-9999
2020-07-29 10:40:37.493 +0200,18,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012036.999703,49.92842042823315,8.647649902858443,123.7035,17.7,6.328125,6,10,-9999
2020-07-29 10:40:39.498 +0200,19,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012036.999703,49.92842042823315,8.647649902858443,123.7035,17.7,6.328125,6,10,-9999
2020-07-29 10:40:41.499 +0200,20,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012039.9997,49.92883365605951,8.647729950033732,124.3869,15.66,4.921875,6,10,-9999
2020-07-29 10:40:43.501 +0200,21,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012042.999696,49.92928606928319,8.647778900348253,124.3699,16.3,2.109375,6,10,-9999
2020-07-29 10:40:45.504 +0200,22,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012042.999696,49.92928606928319,8.647778900348253,124.3699,16.3,2.109375,6,10,-9999
2020-07-29 10:40:47.507 +0200,23,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012045.999694,49.92959687025279,8.647853164010353,124.5196,13.21,3.1640625,6,10,-9999
2020-07-29 10:40:49.510 +0200,24,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012048.99969,49.92988571063609,8.647908484571285,124.6737,11.09,3.1640625,6,10,-9999
2020-07-29 10:40:51.512 +0200,25,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012048.99969,49.92988571063609,8.647908484571285,124.6737,11.09,3.1640625,6,10,-9999
2020-07-29 10:40:53.515 +0200,26,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012051.999688,49.9301294144708,8.64793949761302,124.7793,9.33,2.8125,6,10,-9999
2020-07-29 10:40:55.518 +0200,27,86806BB0-2177-43EE-B23F-9888E35C9758,iPhone-8,1596012054.999683,49.930387618998,8.647969337188311,124.7295,9.73,2.4609375,4,10,-9999
